FeatureID	Domain	Phylum	Class	Order	Family	Genus	Species
337cea924ea327f04a6a9d4a13d96cb8	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Unclassified	Unclassified	Unclassified
94c3ca9e0d0b902f2f8d6cef0914c3c5	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Unclassified	Unclassified	Unclassified
b076e2d8204e462b89f84c46c866ffe3	Bacteria	Firmicutes_D	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Unclassified
ea64cc4e2acba301dd14fb94604967b7	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Unclassified	Unclassified	Unclassified
13c6fbeb74322e0767f2f531924dc645	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	Anaeroglobus	Anaeroglobusmicronuciformis
1c25589654fb4dc585e602b06ce5353e	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Unclassified
22b5e1f88d2721fc4b114ac9c69fcc62	Bacteria	Firmicutes_A	Clostridia_258483	Lachnospirales	Lachnospiraceae	Oribacterium	Oribacteriumsp000160135
26a1fffc508db366a46578a681be435c	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	Anaeroglobus	Anaeroglobusgeminatus
289235ebc22de3263c796dc79ca9e733	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	Anaeroglobus	Anaeroglobusmicronuciformis
2bb5c9eaad12707f878d7bd48df1ed32	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	Anaeroglobus	Anaeroglobusmicronuciformis
2e999a79b731e03b8e02d2fe63c4014a	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales_993777	Leptotrichiaceae	Leptotrichia_A_993758	Unclassified
357204635fade182b775552b429c90ac	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	Anaeroglobus	Anaeroglobusmicronuciformis
3a678ae5ed80a53b118c814745953a33	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	Anaeroglobus	Anaeroglobusmicronuciformis
3a6ea93cc649550ce5adbb3405e0f2da	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Dermatophilaceae_390796	Unclassified	Unclassified
5ca67a17c17c1021059b63a8a98f117e	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	Anaeroglobus	Anaeroglobusmicronuciformis
63ceba3d68b1816f67847931e8b1032a	Bacteria	Firmicutes_D	Bacilli	Bacillales_D_310495	Amphibacillaceae	Pseudogracilibacillus	Pseudogracilibacillusendophyticus
6fb77bd8cbba9d3158956eae29778287	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	Anaeroglobus	Anaeroglobusgeminatus
70bec03fd3f91fe59c16a6560acaaf3d	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Micrococcaceae	Rothia	Rothiamucilaginosa
7a05f0bbb02aa473b5dea5740e3b8133	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	Anaeroglobus	Anaeroglobusmicronuciformis
