FeatureID	Domain	Phylum	Clas	Order	Family	Genus
337cea924ea327f04a6a9d4a13d96cb8	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	TM7x
94c3ca9e0d0b902f2f8d6cef0914c3c5	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia
b076e2d8204e462b89f84c46c866ffe3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
ea64cc4e2acba301dd14fb94604967b7	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
13c6fbeb74322e0767f2f531924dc645	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Megasphaera
1c25589654fb4dc585e602b06ce5353e	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7
22b5e1f88d2721fc4b114ac9c69fcc62	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Unclassified
26a1fffc508db366a46578a681be435c	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Anaeroglobus
289235ebc22de3263c796dc79ca9e733	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Megasphaera
2bb5c9eaad12707f878d7bd48df1ed32	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Megasphaera
2e999a79b731e03b8e02d2fe63c4014a	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia
357204635fade182b775552b429c90ac	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Megasphaera
3a678ae5ed80a53b118c814745953a33	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Megasphaera
3a6ea93cc649550ce5adbb3405e0f2da	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia
5ca67a17c17c1021059b63a8a98f117e	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Megasphaera
63ceba3d68b1816f67847931e8b1032a	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Pseudogracilibacillus
6fb77bd8cbba9d3158956eae29778287	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Anaeroglobus
70bec03fd3f91fe59c16a6560acaaf3d	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia
7a05f0bbb02aa473b5dea5740e3b8133	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Megasphaera
843e0970a171bea8aa1cf539f169e4b9	Bacteria	Desulfobacterota	Unclassified	Unclassified	Unclassified	Unclassified
8589e5ce21a94a16cc715c17b61b8e1f	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
8874a922d05bf4ae0cf755da134e6058	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Megasphaera
8efd5419c7c63a239b582e8628c687bb	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
966edf3ebd59592036b1cb5b20ed3cb6	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Pseudogracilibacillus
a568ca7afaf41f7041e9c3cf895b5787	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
a81d89b4223fb5c14eb1db5b9f9b8003	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Megasphaera
af99b17681c2b4aa47f2c9df0e361838	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Pseudogracilibacillus
c046c9405a7c48063dfdd1dc1207032e	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium
c48317c51301b2b67a015b95d4b04af6	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Anaeroglobus
c705aea3203b816ce74a5fea632acea6	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Anaeroglobus
cead4320b5b0e72808145b0564e1744f	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7
cf877a16a7f2b9425b2061fde1431e28	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Megasphaera
d23cd481df9852bb8ff4365daa5f3044	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Pseudogracilibacillus
d787430bf2bab744e2f5440a4e42b951	Bacteria	Desulfobacterota	Unclassified	Unclassified	Unclassified	Unclassified
dfb61ac5c87738204f7b4d5ebc1f045e	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Unclassified
e105e77edd4bc67335bbc71048b09ddb	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Anaeroglobus
e594e3970e0bbbec5bb2f93ae41c6bbb	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella
eb2458328cb9239f8df2188b1fd9be24	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Pseudogracilibacillus
ecd3c91dd89e46574adbe3ec49c112f4	Bacteria	Bacteroidota	Bacteroidia	Unclassified	Unclassified	Unclassified
001a79702ad9d841be72c91c47535d4e	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
011ff74b4eb8c73e11abeae19e5c4a77	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Unclassified
0121abae4f6403dd2825721b8d694bd1	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria
018be36c309132ff1acc44ea5ff6d39b	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
03416553006f776a58c9e39970755cb8	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella
03da281dfc72483e0bd0e73a945dccec	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Selenomonas
042fd78bf4992445f6dc0c6f84d0afdc	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Selenomonas
05125dd9c8e0d2743ad2be4e0626580b	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella
0550e4c92668c8907535ec09a512e926	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria
07997aa0bdbdee4e8fe12d1a0fda0dde	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella
07f933f2e2d6687f5e90c78261a2bdde	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella
